city,country,latitude,longitude,property_name,property_type,site_review_rating,state,traveller_rating,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,13.155903,75.511358,Honeyvale Homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.10184,74.441901,FORT DHARIYAWAD,Hotel,,,,,,,,,,,,,,,,,,,,,,
Indore,India,22.736605,75.773124,Dream World Resort,Hotel,,,Location:4.5/5 | Hospitality:4.8/5 | Facilities:4/5 | Cleanliness:4.2/5 | Value for Money:4.8/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Kohima,India,10.239291,77.497634,Hotel Ruby International,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.576107,73.69744,Hotel Hadi Rani Palace,Hotel,,,Location:3.9/5 | Hospitality:3.8/5 | Facilities:3.4/5 | Cleanliness:3.8/5 | Value for Money:3.8/5 | Food:3.5/5,,,,,,,,,,,,,,,,,,,
Gwalior,India,0,0,Heaven Homes Service Apartment,Hotel,,,,,,,,,,,,,,,,,,,,,,
Palampur,India,32.1011,76.5332,Hotel Highland Regency,Hotel,,,Location:4.2/5 | Hospitality:4.4/5 | Facilities:3.6/5 | Cleanliness:4.2/5 | Value for Money:4.4/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Tirupati,India,13.629449,79.423943,Hotel Pasuparthy Residency,Hotel,,,Location:4.7/5 | Hospitality:4.6/5 | Facilities:4.6/5 | Cleanliness:4.7/5 | Value for Money:4.6/5 | Food:4.4/5,,,,,,,,,,,,,,,,,,,
Indore,India,22.720943,75.876476,Amrit Residency,Hotel,,,Location:4.7/5 | Hospitality:4/5 | Facilities:3.7/5 | Cleanliness:4/5 | Value for Money:4/5 | Food:3.7/5,,,,,,,,,,,,,,,,,,,
Azamgarh,India,26.0529082,83.1760311,STARiHOTEL Azamgarh,Hotel,,,,,,,,,,,,,,,,,,,,,,
Lachung,India,27.6967,88.7484,Delight Hotels Royal Lachung,Hotel,,,Location:4.4/5 | Hospitality:3.8/5 | Facilities:3.3/5 | Cleanliness:3.8/5 | Value for Money:3.8/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Idduki,India,0,0,DOLPHIN RESIDENCY,Hotel,,,,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,0,0,prakash lodge,Hotel,,,,,,,,,,,,,,,,,,,,,,
MountAbu,India,24.53712,72.795208,Hotel Bhagwati International - 28 kms from Mt Abu,Hotel,,,Location:2.9/5 | Hospitality:3.2/5 | Facilities:3.1/5 | Cleanliness:2.6/5 | Value for Money:3.2/5 | Food:2.8/5,,,,,,,,,,,,,,,,,,,
Kashid,India,0,0,Nisarg Tourist Home,Hotel,,,,,,,,,,,,,,,,,,,,,,
Muvattupuzha,India,0,0,Ambadi tourist home,Hotel,,,,,,,,,,,,,,,,,,,,,,
Dharwad,India,15.44705,75.012814,KARISHMA RESIDENCY,Hotel,,,Location:4.3/5 | Hospitality:3.7/5 | Facilities:3.7/5 | Cleanliness:3.7/5 | Value for Money:3.7/5 | Food:1.3/5,,,,,,,,,,,,,,,,,,,
NubraValley,India,0,0,Natures Nest North Luxury Camps,Hotel,,,,,,,,,,,,,,,,,,,,,,
Shimoga,India,14.211721,74.872552,Ajjanamane Homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nainital,India,29.38999857,79.44644612,Hotel Rio Grand,Hotel,,,,,,,,,,,,,,,,,,,,,,
MountAbu,India,24.590026,72.711359,Hotel Shanti,Hotel,,,,,,,,,,,,,,,,,,,,,,
Dwarika,India,22.248106,68.956723,Hotel Sea View,Hotel,,,,,,,,,,,,,,,,,,,,,,
WeekendGetawaysAroundHyderabad,India,17.44572,78.392557,Horizon Residency,Hotel,,,Location:4.2/5 | Hospitality:4.2/5 | Facilities:4/5 | Cleanliness:4.1/5 | Value for Money:4.2/5 | Food:3.3/5,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.575361,73.692129,Hotel Love Kush,Hotel,,,,,,,,,,,,,,,,,,,,,,
Madurai,India,9.937187,78.144898,Hotel Krishna Residency,Hotel,,,,,,,,,,,,,,,,,,,,,,
Uttarkashi,India,30.807394,78.450815,Kuflon Basics,Hotel,,,,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,0,0,Koffeewoods Homestay,Hotel,,,,,,,,,,,,,,,,,,,,,,
Muvattupuzha,India,0,0,Deepika Inn,Hotel,,,,,,,,,,,,,,,,,,,,,,
MountAbu,India,24.588845,72.712088,Hotel Neelkanth,Hotel,,,,,,,,,,,,,,,,,,,,,,
Indore,India,22.725264,75.884699,Hotel Sapphire Star,Hotel,,,Location:4.8/5 | Hospitality:4.3/5 | Facilities:4.3/5 | Cleanliness:4.6/5 | Value for Money:4.3/5 | Food:4.1/5,,,,,,,,,,,,,,,,,,,
Palampur,India,0,0,Earth House,Hotel,,,,,,,,,,,,,,,,,,,,,,
Gwalior,India,26.195253,78.151206,Hotel Shubham Continental,Hotel,,,Location:3.2/5 | Hospitality:3/5 | Facilities:3/5 | Cleanliness:2.8/5 | Value for Money:3/5 | Food:3/5,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.244854,76.332726,OAK VIEW GUEST HOUSE,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.574937,73.699765,Royal Hotel,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nainital,India,0,0,Hotel shanta regency,Hotel,,,,,,,,,,,,,,,,,,,,,,
Tirupati,India,0,0,Sri Himalasya Inn,Hotel,,,,,,,,,,,,,,,,,,,,,,
Dapoli,India,17.753197,73.187528,Home Stay Samudraj Bunglaw,Hotel,,,,,,,,,,,,,,,,,,,,,,
Varanasi,India,25.327417,82.989001,Anand Lodge,Lodge,,,,,,,,,,,,,,,,,,,,,,
Yavatmal,India,0,0,Trupti Restaurant and Bar and Ganesh Residency,Hotel,,,,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,13.2932,75.8418,Kemmanagundi Homestay,Hotel,,,Location:2/5 | Hospitality:5/5 | Facilities:2/5 | Cleanliness:3/5 | Value for Money:5/5 | Food:4/5,,,,,,,,,,,,,,,,,,,
Dharamshala,India,32.254475,76.302009,The Horizon Villa- North,Hotel,,,Location:4.3/5 | Hospitality:4.2/5 | Facilities:3.8/5 | Cleanliness:4.5/5 | Value for Money:4.1/5 | Food:4.1/5,,,,,,,,,,,,,,,,,,,
Indore,India,22.693808,75.867159,Golden Treat,Hotel,,,Location:4.8/5 | Hospitality:4.8/5 | Facilities:4.4/5 | Cleanliness:4.6/5 | Value for Money:4.8/5 | Food:4.4/5,,,,,,,,,,,,,,,,,,,
Lalitpur,India,24.701662,78.420967,Hotel Anand Residency,Hotel,,,Location:3/5 | Hospitality:5/5 | Facilities:3/5 | Cleanliness:4/5 | Value for Money:5/5 | Food:4/5,,,,,,,,,,,,,,,,,,,
Indore,India,22.7242976,75.8255508,Green Tulip,Hotel,,,,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.176553,91.754105,Hotel Amrit Regency,Hotel,,,Location:4.4/5 | Hospitality:4.2/5 | Facilities:3.2/5 | Cleanliness:3.4/5 | Value for Money:4.2/5 | Food:2.8/5,,,,,,,,,,,,,,,,,,,
Indore,India,22.718142,75.872673,Hotel Shreemaya,Hotel,,,Location:4.5/5 | Hospitality:4.6/5 | Facilities:4.4/5 | Cleanliness:4.5/5 | Value for Money:4.6/5 | Food:4.8/5,,,,,,,,,,,,,,,,,,,
Chikmagalur,India,0,0,Hotel Prakash,Hotel,,,,,,,,,,,,,,,,,,,,,,
Guwahati,India,26.132924,91.793251,ROYALE de CASA,Hotel,,,Location:4.7/5 | Hospitality:5/5 | Facilities:5/5 | Cleanliness:5/5 | Value for Money:5/5 | Food:5/5,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.575644,73.69761,Hotel Sneh Palace,Hotel,,,,,,,,,,,,,,,,,,,,,,
DEOGHAR,India,24.493031,86.694157,Clarks Inn Amrapali,Hotel,,,Location:4.5/5 | Hospitality:4/5 | Facilities:4/5 | Cleanliness:4.4/5 | Value for Money:4/5 | Food:3.5/5,,,,,,,,,,,,,,,,,,,
Valsad,India,20.611155,72.932739,HOTEL GRANDEUR,Hotel,,,Location:4/5 | Hospitality:4.3/5 | Facilities:4/5 | Cleanliness:4.3/5 | Value for Money:4.3/5 | Food:4.3/5,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.577736,73.701443,Hotel Surbhi Palace,Hotel,,,Location:4.2/5 | Hospitality:4.2/5 | Facilities:4.2/5 | Cleanliness:4.2/5 | Value for Money:4.2/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Kollam,India,0,0,Raksha Heritage,Hotel,,,,,,,,,,,,,,,,,,,,,,
Tirupati,India,0,0,Raj Residency Deluxe Lodge,Lodge,,,,,,,,,,,,,,,,,,,,,,
Madhupur,India,0,0,Aangan Marraige Hall and Guest house,Hotel,,,,,,,,,,,,,,,,,,,,,,
Washim,India,20.1124,77.1368,Hotel Washimkar Executive,Hotel,,,Location:5/5 | Hospitality:5/5 | Facilities:4.5/5 | Cleanliness:4.5/5 | Value for Money:5/5 | Food:3.5/5,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.548287,73.674983,Devraj Villa,Hotel,,,,,,,,,,,,,,,,,,,,,,
Udaipur,India,24.567592,73.677763,Jagmandir Island Palace,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nainital,India,29.344583,79.558343,PRIM Resorts - Fredys Bungalow Nainital,Hotel,,,,,,,,,,,,,,,,,,,,,,
